worker_type,spouse_type,birth_yr,claim_age,death_age,pv_taxes,pv_benefits,ben_tax_ratio
medium,high,1950,65,85,540164.5402858437,576558.7539545108,1.0673761621771916
medium,high,1955,65,85,511648.97059387673,611515.6480452293,1.1951859247081766
medium,high,1960,65,86,468489.98403505434,548290.7665291177,1.1703361549093274
medium,high,1965,65,86,499214.3879738415,587657.3937304897,1.1771643764427768
medium,high,1970,65,86,544428.2575726619,633628.4045507243,1.1638418758345903
medium,high,1975,65,86,613066.2588763053,687231.2688452788,1.120973889681861
medium,high,1980,65,87,698456.6904753861,769149.7353226135,1.1012132116582805
medium,high,1985,65,87,794374.8407577989,829286.2359920497,1.0439482640222428
medium,high,1990,65,87,897897.9385217782,891117.2337102193,0.9924482454846459
medium,high,1995,65,88,1004042.550473534,988182.176672821,0.984203484410862
medium,high,2000,65,88,1107725.150741559,1061329.3726382917,0.9581161644003406
medium,high,2005,65,88,1205899.6525039873,1141548.9259966603,0.9466367484444447
medium,high,2010,65,88,1304865.7993290008,1228293.2034868528,0.9413176467024243
medium,max,1930,65,83,415420.6345210451,366371.9755464399,0.8819301332223053
medium,max,1935,65,84,552653.1744859633,464060.6871700573,0.8396960491572167
medium,max,1940,65,84,640952.473872782,571799.626701094,0.8921092436794095
medium,max,1945,65,84,713690.724704976,611680.2767405065,0.8570663111719179
medium,max,1950,65,85,723106.107496118,645307.3935675705,0.8924103763997523
medium,max,1955,65,85,722681.4349128918,687428.3120100286,0.9512190002402477
medium,max,1960,65,86,680034.2315652636,617322.0828560359,0.9077808942575134
medium,max,1965,65,86,722275.3271478453,662142.4183605626,0.9167451710904506
medium,max,1970,65,86,781465.6376922255,714252.4599090758,0.913990872354107
medium,max,1975,65,86,871562.1949121794,774346.3793342336,0.8884579710484787
medium,max,1980,65,87,989563.7419105761,867056.7069145561,0.8762009663374564
medium,max,1985,65,87,1121359.93329228,934377.1970162316,0.8332535961695434
medium,max,1990,65,87,1267408.8183936952,1003294.8807526974,0.7916110935887807
medium,max,1995,65,88,1423688.838347779,1111933.8956545903,0.7810231180466465
medium,max,2000,65,88,1583689.0876386748,1194075.8906796938,0.7539837838120705
medium,max,2005,65,88,1735375.988130569,1284743.0455624943,0.740325470877629
medium,max,2010,65,88,1884927.862777966,1382536.5646408186,0.7334692175451564
medium,medium,1930,65,83,297583.3977798087,305312.0622501867,1.025971423567442
medium,medium,1935,65,84,378020.32354419044,378082.73741563543,1.0001651071848725
medium,medium,1940,65,84,415515.8352990287,454958.8020624632,1.0949253034726079
medium,medium,1945,65,84,435366.3615135059,477249.7649053477,1.0962026630772266
medium,medium,1950,65,85,415505.40046429797,496153.75770420925,1.194097013299448
medium,medium,1955,65,85,393568.4077037071,526192.7894700709,1.3369792370789282
medium,medium,1960,65,86,360371.84572178626,472636.58831144223,1.3115247318080625
medium,medium,1965,65,86,384007.1791656473,506008.7617738187,1.3177065149491494
medium,medium,1970,65,86,418789.36089644535,545552.4892905909,1.3026894669024087
medium,medium,1975,65,86,471588.76538439083,591647.7399660646,1.2545840431203106
medium,medium,1980,65,87,537274.9920887252,662174.9295015777,1.2324692927308751
medium,medium,1985,65,87,611058.7411397547,713918.9328221569,1.1683311026539709
medium,medium,1990,65,87,690690.7212180474,767173.26053591,1.1107334107268505
medium,medium,1995,65,88,772338.6647884232,850718.3069317215,1.1014835145729365
medium,medium,2000,65,88,852091.060309993,913697.7317177305,1.0723005724122077
