worker_type,spouse_type,birth_yr,claim_age,irr_scheduled,irr_payable
low,very_low,1935,65,0.04788656530333079,0.04788656530333079
low,very_low,1940,65,0.04650213743759099,0.04650213743759099
low,very_low,1945,65,0.0418272417861634,0.0418272417861634
low,very_low,1950,65,0.03993628520812398,0.03949612246553317
low,very_low,1955,65,0.04007748977105927,0.03827293254187143
low,very_low,1960,65,0.03758092373234995,0.03386832964924758
low,very_low,1965,65,0.037766898766104375,0.031912936109997785
low,very_low,1970,65,0.038508276806974114,0.030448363386935386
low,very_low,1975,65,0.039082206022253624,0.030570917840553453
low,very_low,1980,65,0.04039366126738912,0.03144340268696745
low,very_low,1985,65,0.04061813581178381,0.031064175295671285
low,very_low,1990,65,0.04055012338860482,0.030366684628438567
low,very_low,1995,65,0.04116808605730329,0.030570594894246038
low,very_low,2000,65,0.040951902588973244,0.03001776846179393
low,very_low,2005,65,0.04079628196572846,0.029726787562768888
low,very_low,2010,65,0.04071640835868442,0.029698438524286747
low,low,1930,65,0.047466783108378555,0.047466783108378555
low,low,1935,65,0.04361333008726823,0.04361333008726823
low,low,1940,65,0.04229734504529672,0.04229734504529672
low,low,1945,65,0.03764650695181771,0.03764650695181771
low,low,1950,65,0.03583876643346717,0.03537583228909073
low,low,1955,65,0.036017732795997875,0.034139137481150425
low,low,1960,65,0.03359926772119876,0.029776300370732565
low,low,1965,65,0.033805944818587695,0.02784567114911224
low,low,1970,65,0.03455917616061091,0.026430215871061126
low,low,1975,65,0.03513710093903096,0.026549103720258465
low,low,1980,65,0.03648052588630678,0.027450684151834173
low,low,1985,65,0.03668511234119952,0.027046300738153877
low,low,1990,65,0.036608544618276964,0.02633820432683128
low,low,1995,65,0.03727428100591437,0.026598208441240598
low,low,2000,65,0.03706191640286942,0.026055162056189685
low,low,2005,65,0.03691240989241967,0.025779491356059694
low,low,2010,65,0.03683829055475774,0.0257647139422072
low,medium,1930,65,0.040487437193468215,0.040487437193468215
low,medium,1935,65,0.03691805756605136,0.03691805756605136
low,medium,1940,65,0.03569408515980863,0.03569408515980863
low,medium,1945,65,0.03107531529891174,0.03107531529891174
low,medium,1950,65,0.02940493034593487,0.02890413692448941
low,medium,1955,65,0.029639140358390065,0.027638298364533395
low,medium,1960,65,0.02736559167524507,0.02336405686572494
low,medium,1965,65,0.027594358485928134,0.021461957066385057
low,medium,1970,65,0.028365520367916015,0.020122450481283062
low,medium,1975,65,0.028939150288449712,0.02022423730872113
low,medium,1980,65,0.030342400896101563,0.021180936042745426
low,medium,1985,65,0.03051655972901972,0.020738035524408727
low,medium,1990,65,0.030425890580531117,0.020012679126843482
low,medium,1995,65,0.03117056580331943,0.020365620272115827
low,medium,2000,65,0.03096575031774236,0.01983908214329272
low,medium,2005,65,0.030826965610966213,0.019588885941543663
low,medium,2010,65,0.030762193913246125,0.019595859551781905
low,high,1930,65,0.037065667414369265,0.037065667414369265
low,high,1935,65,0.03288227281178881,0.03288227281178881
low,high,1940,65,0.03124623084804791,0.03124623084804791
low,high,1945,65,0.026473234902878486,0.026473234902878486
low,high,1950,65,0.024929985918685477,0.024401099393923615
low,high,1955,65,0.025209325814712906,0.02311920829544655
low,high,1960,65,0.0229195470572883,0.018786628826136863
low,high,1965,65,0.023227749675397518,0.01697178011827978
low,high,1970,65,0.024015895213133322,0.015689725564073654
low,high,1975,65,0.02459132177400512,0.015784150672615155
low,high,1980,65,0.026039626738861874,0.016783634165611253
low,high,1985,65,0.02619602197969823,0.016317402423228378
low,high,1990,65,0.026094510979703184,0.015579236809402167
low,high,1995,65,0.02690113186654846,0.016004233968482245
low,high,2000,65,0.026701379065443696,0.015489411794562695
low,high,2005,65,0.026568851580276474,0.01525606113827525
