birth_yr,age,year,real_earnings,real_ben_sched,real_ben_payable
2010,60,2070,55279.77613420785,NA,NA
2010,61,2071,52982.56205102063,NA,NA
2010,62,2072,51957.26637943931,NA,NA
2010,63,2073,50889.40738825283,NA,NA
2010,64,2074,49858.81379907381,NA,NA
2010,65,2075,NA,32209.295022318467,22489.354342535324
2010,66,2076,NA,32319.240909752378,22506.26429939481
2010,67,2077,NA,32428.82406863877,22534.75598960475
2010,68,2078,NA,32541.849560742066,22582.429975002677
2010,69,2079,NA,32649.528324618223,22633.241150579062
2010,70,2080,NA,32763.81660233268,22700.48867121169
2010,71,2081,NA,32876.06060068931,22778.257193848483
2010,72,2082,NA,32989.832194936374,22869.145923377222
2010,73,2083,NA,33100.86350399046,22970.35793235167
2010,74,2084,NA,33216.312480159526,23074.852942921196
2010,75,2085,NA,33328.262609097575,23201.701113496205
2010,76,2086,NA,33443.61947372446,23343.862003674418
2010,77,2087,NA,33558.29292924261,23468.709297214726
2010,78,2088,NA,33671.91431896727,23636.317681335357
2010,79,2089,NA,33787.47879593006,23793.78294217957
2010,80,2090,NA,33904.45966465621,23935.309891622353
2010,81,2091,NA,34019.14995441802,24094.083570821433
2010,82,2092,NA,34137.560782904475,24243.40005714299
2010,83,2093,NA,34252.892002606764,24391.334161871957
2010,84,2094,NA,34370.948540488585,24496.937888009074
2010,85,2095,NA,34488.19123031031,24620.66354401313
2010,86,2096,NA,34607.14768112938,24732.526749107088
2010,87,2097,NA,34724.45315331455,24829.899544353655
2010,88,2098,NA,34845.3512395766,24916.348345253053
2015,21,2036,9365.891561201377,NA,NA
2015,22,2037,11734.837010354788,NA,NA
2015,23,2038,15198.792625536084,NA,NA
2015,24,2039,18469.380576753367,NA,NA
2015,25,2040,21132.79584832091,NA,NA
2015,26,2041,23602.17168871285,NA,NA
2015,27,2042,25959.70351407178,NA,NA
2015,28,2043,28195.057439958055,NA,NA
2015,29,2044,30297.702329675125,NA,NA
2015,30,2045,32260.243245469996,NA,NA
2015,31,2046,34076.407703906676,NA,NA
2015,32,2047,35840.469133397426,NA,NA
2015,33,2048,37448.17145827064,NA,NA
2015,34,2049,39042.9246914606,NA,NA
2015,35,2050,40519.06507240682,NA,NA
2015,36,2051,41875.52558124067,NA,NA
2015,37,2052,43208.91956725532,NA,NA
2015,38,2053,44463.58850717686,NA,NA
2015,39,2054,45635.10475666198,NA,NA
2015,40,2055,46830.75054034395,NA,NA
2015,41,2056,47941.11855263936,NA,NA
2015,42,2057,49020.79727102623,NA,NA
2015,43,2058,50125.64292502303,NA,NA
2015,44,2059,51196.79070699128,NA,NA
2015,45,2060,52174.324945570734,NA,NA
2015,46,2061,53172.83262999915,NA,NA
2015,47,2062,54132.55699656409,NA,NA
2015,48,2063,54988.501964639385,NA,NA
2015,49,2064,55735.49282138217,NA,NA
2015,50,2065,56555.926241855326,NA,NA
2015,51,2066,57260.91284858621,NA,NA
2015,52,2067,57846.85257585516,NA,NA
2015,53,2068,58370.44308098024,NA,NA
2015,54,2069,58763.45349097046,NA,NA
2015,55,2070,59020.60109453134,NA,NA
2015,56,2071,58719.177560669865,NA,NA
2015,57,2072,58254.12766675047,NA,NA
2015,58,2073,57619.70686549286,NA,NA
2015,59,2074,56740.838282829514,NA,NA
2015,60,2075,55313.56226165672,NA,NA
2015,61,2076,53017.09199385857,NA,NA
2015,62,2077,51995.77365669164,NA,NA
2015,63,2078,50931.400862809634,NA,NA
2015,64,2079,49900.90244503575,NA,NA
2015,65,2080,NA,33429.68261065629,23161.83552716433
2015,66,2081,NA,33544.27321452446,23241.229901040522
2015,67,2082,NA,33660.02843567413,23333.738029701522
2015,68,2083,NA,33776.46835772071,23439.194200298185
2015,69,2084,NA,33889.441182017785,23542.464927734873
2015,70,2085,NA,34005.990437273,23673.506040445292
2015,71,2086,NA,34121.938611399026,23817.333134894747
2015,72,2087,NA,34240.386200437424,23945.72547706063
2015,73,2088,NA,34357.35636657841,24117.470188318184
2015,74,2089,NA,34475.859829651905,24278.553913012227
2015,75,2090,NA,34595.3850064799,24423.077941374366
2015,76,2091,NA,34712.23959695285,24584.964730159052
2015,77,2092,NA,34832.4489594746,24736.887338401957
2015,78,2093,NA,34949.22676851386,24887.19109455011
2015,79,2094,NA,35071.41059788435,24996.172743070398
2015,80,2095,NA,35189.37518172007,25121.22949236443
2015,81,2096,NA,35311.64101165753,25236.003669609145
2015,82,2097,NA,35431.83995157809,25335.720127397428
2015,83,2098,NA,35552.44712635878,25421.960910539805
2015,84,2099,NA,35675.73409647831,25496.20835456228
2015,85,2100,NA,35795.759883497085,25568.045456941905
2015,86,2101,NA,35920.1418550508,25656.888490671598
2015,87,2102,NA,36043.0493721146,25744.678357223245
2015,88,2103,NA,36166.64578404743,25832.960284716857
2020,21,2041,9419.005171638939,NA,NA
2020,22,2042,11797.392330691871,NA,NA
2020,23,2043,15270.864029827851,NA,NA
2020,24,2044,18538.54978559587,NA,NA
2020,25,2045,21190.855357498076,NA,NA
2020,26,2046,23645.37072487685,NA,NA
2020,27,2047,25985.067755922948,NA,NA
2020,28,2048,28201.88235324447,NA,NA
2020,29,2049,30289.376100695907,NA,NA
2020,30,2050,32238.612720696874,NA,NA
2020,31,2051,34046.1914432556,NA,NA
2020,32,2052,35800.548662452435,NA,NA
2020,33,2053,37398.812858472884,NA,NA
2020,34,2054,38983.25721609631,NA,NA
2020,35,2055,40452.58218786672,NA,NA
2020,36,2056,41801.87809563192,NA,NA
2020,37,2057,43132.11146825415,NA,NA
2020,38,2058,44389.41524164539,NA,NA
2020,39,2059,45568.60802732729,NA,NA
2020,40,2060,46775.53727502472,NA,NA
2020,41,2061,47900.200389046375,NA,NA
2020,42,2062,48994.79017359522,NA,NA
2020,43,2063,50113.09266513213,NA,NA
2020,44,2064,51197.64581619326,NA,NA
2020,45,2065,52186.08961383956,NA,NA
2020,46,2066,53193.0744408688,NA,NA
2020,47,2067,54160.24523377669,NA,NA
2020,48,2068,55020.565191436435,NA,NA
2020,49,2069,55770.39106696875,NA,NA
2020,50,2070,56594.56764157201,NA,NA
2020,51,2071,57300.81157361978,NA,NA
2020,52,2072,57883.47468346494,NA,NA
2020,53,2073,58403.808858736,NA,NA
2020,54,2074,58795.88490999508,NA,NA
2020,55,2075,59052.51660369654,NA,NA
2020,56,2076,58753.310297401316,NA,NA
2020,57,2077,58293.19825970156,NA,NA
2020,58,2078,57663.194970358665,NA,NA
2020,59,2079,56784.73912182514,NA,NA
2020,60,2080,55354.57683539658,NA,NA
2020,61,2081,53055.29654131916,NA,NA
2020,62,2082,52032.05555724893,NA,NA
2020,63,2083,50968.08199658829,NA,NA
2020,64,2084,49940.83236149445,NA,NA
2020,65,2085,NA,34748.954099176546,24190.725345389477
2020,66,2086,NA,34867.73452193127,24337.90348859249
2020,67,2087,NA,34988.60075812561,24468.983021279357
2020,68,2088,NA,35107.59144356573,24644.1047730755
2020,69,2089,NA,35227.73231794033,24808.036769504204
2020,70,2090,NA,35348.52637434458,24954.76823257324
2020,71,2091,NA,35469.50420638906,25121.297848694598
2020,72,2092,NA,35590.22294387913,25275.034102127796
2020,73,2093,NA,35713.346334641996,25431.317286161542
2020,74,2094,NA,35835.27654840645,25540.59696001227
2020,75,2095,NA,35958.60652081938,25670.373570724507
2020,76,2096,NA,36082.814780877634,25787.134784232792
2020,77,2097,NA,36204.567699078834,25888.263093613918
2020,78,2098,NA,36329.13906498959,25977.33849209494
2020,79,2099,NA,36453.191216641666,26051.829961921987
2020,80,2100,NA,36578.98426150206,26127.483685519604
2020,81,2101,NA,36703.349206809,26216.314557813053
2020,82,2102,NA,36831.05792910357,26307.53380912949
2020,83,2103,NA,36956.4313585791,26397.08501727135
2020,84,2104,NA,37084.08752548401,26488.266729544157
2020,85,2105,NA,37211.023317819614,26578.933895686536
2020,86,2106,NA,37336.82802744441,26668.793156807216
2020,87,2107,NA,37465.75382047368,26760.881732310936
2020,88,2108,NA,37594.88610698848,26853.117801116714
2020,89,2109,NA,37723.75370091062,26945.16480640594
2025,21,2046,9433.22009212775,NA,NA
2025,22,2047,11805.133905288621,NA,NA
2025,23,2048,15269.66442412043,NA,NA
2025,24,2049,18527.514453936055,NA,NA
2025,25,2050,21169.85894320854,NA,NA
2025,26,2051,23616.83135736069,NA,NA
2025,27,2052,25947.804673709383,NA,NA
2025,28,2053,28155.6829673986,NA,NA
2025,29,2054,30233.39219872212,NA,NA
2025,30,2055,32175.399486806964,NA,NA
2025,31,2056,33975.41968143176,NA,NA
2025,32,2057,35725.454624595914,NA,NA
2025,33,2058,37324.45715815878,NA,NA
2025,34,2059,38913.97574232966,NA,NA
2025,35,2060,40391.93744557637,NA,NA
2025,36,2061,41752.81216352845,NA,NA
2025,37,2062,43095.410350651975,NA,NA
2025,38,2063,44364.07625347476,NA,NA
2025,39,2064,45554.76240732587,NA,NA
2025,40,2065,46771.087854232355,NA,NA
2025,41,2066,47903.07532608016,NA,NA
2025,42,2067,49004.13776051585,NA,NA
2025,43,2068,50126.240562760075,NA,NA
2025,44,2069,51213.28165391025,NA,NA
2025,45,2070,52205.006290464335,NA,NA
2025,46,2071,53213.07644973222,NA,NA
2025,47,2072,54177.16197713992,NA,NA
2025,48,2073,55034.36983230035,NA,NA
2025,49,2074,55783.28421289038,NA,NA
2025,50,2075,56607.02073591845,NA,NA
2025,51,2076,57315.74205417104,NA,NA
2025,52,2077,57903.73037170586,NA,NA
2025,53,2078,58429.153976585105,NA,NA
2025,54,2079,58822.51484434952,NA,NA
