birth_yr,claim_age,death_age,monthly_real_at_65_scheduled,monthly_real_at_65_payable,pv_benefits_scheduled,pv_benefits_payable,pv_taxes,ben_tax_ratio_scheduled,ben_tax_ratio_payable,rep_rate_career_scheduled,rep_rate_career_payable,rep_rate_awi_scheduled,rep_rate_awi_payable,irr_scheduled,irr_payable,marginal_irr_age64_scheduled,marginal_irr_age64_payable
2095,65,89,3809.92999985508,2721.3408443096473,880422.5557985365,628864.535946115,411719.7252914184,2.1384026601479116,1.5274092964601098,1.0403282584615117,0.7430813115591421,0.08272685575233195,0.05908979206670378,0.04985525718900266,0.03967094432369825,-0.5509827540296892,-0.679277842032531
2100,65,89,3809.9613200100134,2721.363215538744,880425.9327885206,628866.948048378,411719.72529141844,2.1384108623052933,1.5274151550627337,1.0403368106507218,0.7430874201810346,0.0769067780750195,0.05493265135783835,0.04985537605008704,0.03967106308173155,-0.5514734232000004,-0.679628315152602
2105,65,89,3809.983965824649,2721.3793908963817,880428.928137246,628869.087553521,411719.7252914183,2.1384181375183613,1.527420351571455,1.0403429942501325,0.7430918369765248,0.07149599720188327,0.0510678614561249,0.04985548393092125,0.039671169676179736,-0.5505329392384573,-0.6789565502073124
2110,65,89,3809.9811189358793,2721.3773574325937,880432.4277999805,628871.5872779624,411719.7252914184,2.1384266376278274,1.5274264229940457,1.0403422168870744,0.7430912817248951,0.06646544740904603,0.04747466141803965,0.049855594239025,0.03967128538937446,-0.5497848743697825,-0.6784222255658167
2115,65,89,3810.0080302644324,2721.396579543648,880433.397010838,628872.2795618346,411719.72529141844,2.1384289916827774,1.527428104438557,1.040349565215145,0.7430965304578947,0.061789336140745936,0.04413462824487225,0.04985563624700673,0.039671323959662844,-0.5509269160975918,-0.6792379583482748
2120,65,89,3810.0079386663674,2721.3965141173658,880437.5488741713,628875.2451373885,411719.7252914184,2.1384390758810277,1.527435307337451,1.0403495402036478,0.7430965125927872,0.05744180097370205,0.041029289033233426,0.0498557761742199,0.039671466290108794,-0.5492161462597609,-0.6780159968332028
2125,65,89,3810.0086481316325,2721.397020871244,880433.6007777754,628872.4251076294,411719.7252914184,2.138429486599404,1.5274284579455324,1.0403497339281422,0.7430966509655077,0.05340017224537069,0.03814245139150201,0.049855635580435355,0.0396713265795199,-0.5504290633283602,-0.6788823541572544
2130,65,89,3810.022485315471,2721.406904436966,880438.1222965185,628875.654719101,411719.7252914183,2.138440468630299,1.5274363021445672,1.040353512268785,0.7430993497428384,0.0496430852246784,0.03545885500904237,0.04985579357591613,0.039671484834191424,-0.5501097861924094,-0.6786543022217391
2135,65,89,3810.019549068662,2721.4048071468924,880438.3646266671,628875.8278096648,411719.72529141844,2.1384410572106693,1.5274367225532892,1.040352710505884,0.7430987770629913,0.046150133182223725,0.032963923852641,0.04985580185434394,0.03967149327717952,-0.5507059479970864,-0.6790801261788317
2140,65,89,3810.020878908613,2721.4057570194036,880437.1444847197,628874.9562917845,411719.7252914183,2.138438093685066,1.5274346057786328,1.0403530736280624,0.7430990364323801,0.0429029978269602,0.030644573610086233,0.04985575875420197,0.03967145026176456,-0.5509259068507493,-0.679237237467657
2145,65,89,3810.020784829852,2721.4056898212198,880438.2836872339,628875.7699965853,411719.7252914184,2.1384408606219996,1.5274365821347573,1.040353047939193,0.7430990180834419,0.039884316852563065,0.028488402805929767,0.04985579933494604,0.03967149059985211,-0.5510141322791771,-0.6793002547571805
2150,65,89,3810.0308517315316,2721.4128803655913,880441.6620882688,628878.1831067278,411719.7252914184,2.1384490662065936,1.5274424431853562,1.0403557967777,0.7431009815122986,0.03707813098798447,0.026484012118884973,0.04985591240703814,0.03967160604173017,-0.5504045725806948,-0.6788648610085934
2155,65,89,3810.04023815684,2721.4195848621503,880443.0405574279,628879.1677139057,411719.72529141826,2.1384524142831483,1.5274448346354559,1.0403583598073343,0.7431028122223718,0.03446937695075461,0.024620642210634335,0.04985595875807335,0.03967165323314546,-0.5497227332488414,-0.6783778396661846
2160,65,89,3823.990464039944,2731.383893782388,883667.8590237013,631182.5775424558,411719.7252914183,2.146284971890124,1.5330394410802153,1.044167567377727,0.7458236370527908,0.03216141890489526,0.02297212360336621,0.04996600204841156,0.03978301913993686,NA,NA
2165,65,89,NA,NA,NA,NA,411719.72529141826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2170,65,89,NA,NA,NA,NA,411719.72529141844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2175,65,89,NA,NA,NA,NA,411719.7252914184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2180,65,89,NA,NA,NA,NA,411719.7252914183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2185,65,89,NA,NA,NA,NA,411719.7252914184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2190,65,89,NA,NA,NA,NA,411719.7252914184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2195,65,89,NA,NA,NA,NA,411719.7252914184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2200,65,89,NA,NA,NA,NA,411719.7252914183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
