worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t,delta_pv_ben,net_tax
high,high,1950,65,48,1998,50536.38144,6266.511298559999,1188495.7327621777,17618.989712883485,-0.01497223813811518
high,high,1950,65,49,1999,53322.22,6611.955279999999,1206259.2815642855,17763.54880210827,-0.0166269842340725
high,high,1950,65,50,2000,56270.935,6977.595939999999,1223843.21104168,17583.929477394326,-0.01608881795817202
high,high,1950,65,51,2001,57514.59424,7131.809685759999,1241468.170533273,17624.9594915926,-0.02052316885604186
high,high,1950,65,52,2002,57792.132419999994,7166.22442008,1258983.0598762457,17514.88934297301,-0.02593449968262683
high,high,1950,65,53,2003,58830.16865,7294.9409126,1271813.9224320855,12830.86255583982,0.01167682113920761
high,high,1950,65,54,2004,61101.614700000006,7576.600222800001,1279965.2411653907,8151.318733305205,0.05234060744897805
high,high,1950,65,55,2005,62672.18624,7771.35109376,1287917.9758459022,7952.734680511523,0.05290748277960724
high,high,1950,65,56,2006,64315.946240000005,7975.177333760001,1293775.570635866,5857.594789963681,0.07052581337282703
high,high,1950,65,57,2007,65699.31048,8146.71449952,1298784.0010692426,5008.430433376692,0.07713689697568639
high,high,1950,65,58,2008,65515.92745,8123.9750038,1303051.9347748407,4267.933705598116,0.08251216862246101
high,high,1950,65,59,2009,62655.16779,7769.24080596,1306374.7903513534,3322.8555765126366,0.08924479086813533
high,high,1950,65,60,2010,61593.92074,7637.64617176,1308907.2592231848,2532.4688718314283,0.09630095993435812
high,high,1950,65,61,2011,60042.51517,7445.27188108,1310822.2209571598,1914.961733974982,0.10199812806655568
high,high,1950,65,62,2012,59789.93283,7413.95167092,1312272.9345460092,1450.7135888494086,0.10701059908892958
high,high,1950,65,63,2013,58489.27248,7252.66978752,1313262.2638098171,989.3292638079728,0.1119312227665152
high,high,1950,65,64,2014,58473.752159999996,7250.74526784,1313927.5004096243,665.2365998073947,0.11569595983161136
high,high,1955,65,21,1976,4087.33064,404.64573336,1037852.1750285609,0,0.099
high,high,1955,65,22,1977,5339.574240000001,528.6178497600001,1037852.1750285609,0,0.099
high,high,1955,65,23,1978,7368.10894,744.1790029400001,1037852.1750285609,0,0.10100000000000002
high,high,1955,65,24,1979,9573.86964,972.7051554239998,1037852.1750285609,0,0.1016
high,high,1955,65,25,1980,11762.6524,1195.0854838399998,1037852.1750285609,0,0.1016
high,high,1955,65,26,1981,14227.6123,1522.3545161,1037852.1750285609,0,0.107
high,high,1955,65,27,1982,16260.56946,1756.1415016800004,1037852.1750285609,0,0.10800000000000004
high,high,1955,65,28,1983,18256.60952,1971.71382816,1037852.1750285609,0,0.108
high,high,1955,65,29,1984,20443.13369,2330.51724066,1037852.1750285609,0,0.114
high,high,1955,65,30,1985,22357.115789999996,2548.7112000599996,1043050.6118431964,5198.436814635526,0.07821151668404186
high,high,1955,65,31,1986,23990.7207,2734.9421598,1043334.4087562908,283.79691309435293,0.1120335883938171
high,high,1955,65,32,1987,26442.04185,3014.3927709,1043687.5705511954,353.16179490473587,0.11159332157617012
high,high,1955,65,33,1988,28595.04516,3465.7194733920005,1043987.7263294412,300.155778245884,0.11914210053036418
high,high,1955,65,34,1989,30531.216449999996,3700.38343374,1044338.1173510303,350.3910215891665,0.11875428054280808
high,high,1955,65,35,1990,32677.48092,4052.00763408,1044716.182469514,378.06511848361697,0.12132240034945828
high,high,1955,65,36,1991,34549.5744,4284.147225599999,1045040.0246190036,323.84214948955923,0.12165716324126082
high,high,1955,65,37,1992,36926.0262,4578.827248799999,1060061.5676332626,15021.54301425896,0.01510127359859381
high,high,1955,65,38,1993,37798.782779999994,4687.049064719999,1077482.56541725,17420.997783987317,-0.00690354999859142
high,high,1955,65,39,1994,39288.338619999995,4871.753988879998,1095200.5146399618,17717.949222711846,-0.01318147616515701
high,high,1955,65,40,1995,41332.56918,5125.238578319999,1113104.7608807157,17904.246240753913,-0.01685978795071567
high,high,1955,65,41,1996,43768.5771,5427.3035604,1131171.1972425175,18066.436361802043,-0.01908386456779724
high,high,1955,65,42,1997,46679.052,5788.202447999999,1149342.6877937035,18171.490551186027,-0.01984882658490288
high,high,1955,65,43,1998,49526.23104,6141.2526489599995,1167729.6310764395,18386.943282735767,-0.02086917055897045
high,high,1955,65,44,1999,52621.413680000005,6525.05529632,1186249.9959966578,18520.36492021824,-0.02144028114293308
high,high,1955,65,45,2000,55820.76752,6921.77517248,1204787.0577793806,18537.061782722827,-0.02173614838727747
high,high,1955,65,46,2001,57415.82848,7119.56273152,1223416.6669395587,18629.609160178108,-0.02579938859518199
high,high,1955,65,47,2002,58157.90541,7211.58027084,1242088.2013788489,18671.534439290175,-0.03148363108016425
high,high,1955,65,48,2003,59647.72744999999,7396.318203799999,1260902.581095638,18814.379716789117,-0.03502307758734638
high,high,1955,65,49,2004,62384.96250000001,7735.735350000001,1279570.8844447788,18668.3033491408,-0.03335240678135513
high,high,1955,65,50,2005,64667.645,8018.78798,1298373.786088531,18802.90164375212,-0.03546691639764209
high,high,1955,65,51,2006,67524.01327000001,8372.977645480001,1317087.3134419934,18713.52735346253,-0.03529108124655607
high,high,1955,65,52,2007,70224.72424000001,8707.86580576,1335632.5164237898,18545.20298179635,-0.03492136296610156
high,high,1955,65,53,2008,71385.49319000001,8851.80115556,1349239.3339120124,13606.817488222616,0.0051642578719251
high,high,1955,65,54,2009,69779.69954,8652.68274296,1357779.1259781297,8539.79206611705,0.04548835738970509
high,high,1955,65,55,2010,70678.81568,8764.17314432,1366203.1802222016,8424.054244072177,0.04539668393447003
high,high,1955,65,56,2011,71518.07104,8868.24080896,1372388.9655050405,6185.785282838857,0.06558989562736406
high,high,1955,65,57,2012,72067.03541999999,8936.312392079999,1377811.978636565,5423.013131524436,0.07242028063198681
high,high,1955,65,58,2013,71147.7336,8822.3189664,1382257.9184932814,4445.939856716432,0.08035327392798199
high,high,1955,65,59,2014,71535.05927999999,8870.347350719998,1385813.0921972557,3555.1737039743457,0.08848869133962277
high,high,1955,65,60,2015,71089.77514,8815.132117359999,1388528.8995785671,2715.8073813114315,0.09615695117179864
high,high,1955,65,61,2016,67953.08355,8426.182360199999,1390400.0093673004,1871.1097887333017,0.1035702597317918
high,high,1955,65,62,2017,67884.22961,8417.644471639998,1391921.107935016,1521.0985677156132,0.10699264249848228
high,high,1955,65,63,2018,67945.9774,8425.3011976,1392966.8845263403,1045.7765913242474,0.1119790464771782
high,high,1955,65,64,2019,68057.78742,8439.165640079998,1393677.013240775,710.1287144348025,0.11567136373490149
high,high,1960,65,21,1981,6101.4833,652.8587131,923887.6516987059,0,0.107
high,high,1960,65,22,1982,7934.111640000001,856.8840571200002,923887.6516987059,0,0.108
high,high,1960,65,23,1983,10636.98952,1148.79486816,923887.6516987059,0,0.10800000000000004
high,high,1960,65,24,1984,13456.64838,1534.05791532,923887.6516987059,0,0.114
high,high,1960,65,25,1985,15813.159399999997,1802.7001715999995,923887.6516987059,0,0.11400000000000002
high,high,1960,65,26,1986,17893.440059999997,2039.8521668399997,923887.6516987059,0,0.114
