worker_type,spouse_type,birth_yr,claim_age,death_age,pv_taxes_pb,pv_ben_pb,ben_tax_ratio_pb
very_low,max,1990,65,87,1008374.1530904338,668689.1285765078,0.6631359268056704
very_low,medium,1990,65,87,431656.05591478606,415777.0164346831,0.9632136761143051
very_low,none,1990,65,87,172621.39061152464,256900.68014528218,1.488232015946527
very_low,very_low,1990,65,87,172621.39061152464,256900.68014528218,1.488232015946527
high,high,1995,65,88,1235746.4361586447,800267.5633809187,0.6475985201855606
high,max,1995,65,88,1655392.7240328896,888247.6762807169,0.5365782169905617
high,none,1995,65,88,1235746.4361586447,800267.5633809187,0.6475985201855606
low,high,1995,65,88,791646.3657351286,599538.3178624671,0.7573309798570621
low,low,1995,65,88,347546.2953116126,366659.31899725046,1.0549941804688234
low,max,1995,65,88,1211292.6536093736,729816.4432781007,0.6025104181911907
low,medium,1995,65,88,559942.4800500179,485734.90359620564,0.8674728581993215
low,none,1995,65,88,347546.2953116126,366659.31899725046,1.0549941804688234
max,max,1995,65,88,2075039.0119071344,976227.7891805151,0.47046237857633344
max,none,1995,65,88,2075039.0119071344,976227.7891805151,0.47046237857633344
medium,high,1995,65,88,1004042.550473534,702539.0257880397,0.6997104111341725
medium,max,1995,65,88,1423688.838347779,790519.1386878379,0.5552611760342605
medium,medium,1995,65,88,772338.6647884232,604810.4881951608,0.7830897451713678
medium,none,1995,65,88,772338.6647884232,604810.4881951608,0.7830897451713678
very_low,high,1995,65,88,714386.3290626166,597864.1978924964,0.8368919918680205
very_low,low,1995,65,88,270286.25863910053,323346.64235594904,1.196311806541735
very_low,max,1995,65,88,1134032.6169368615,728144.6750586013,0.6420844199573331
very_low,medium,1995,65,88,482682.4433775058,453151.3316531179,0.938818757281189
very_low,none,1995,65,88,193026.22196658843,280033.96571464767,1.450756083093828
very_low,very_low,1995,65,88,193026.22196658843,280033.96571464767,1.450756083093828
high,high,2000,65,88,1363359.2411731249,850253.221545236,0.62364576838429
high,max,2000,65,88,1839323.1780702407,943612.8932813827,0.5130218030913911
high,none,2000,65,88,1363359.2411731249,850253.221545236,0.62364576838429
low,high,2000,65,88,873399.2048168535,636987.1070555149,0.7293195408725924
low,low,2000,65,88,383439.1684605822,389559.4176093036,1.0159614605187381
low,max,2000,65,88,1349363.1417139694,775231.4041959887,0.5745165109603372
low,medium,2000,65,88,617765.1143852876,516078.1680444409,0.835395453752627
low,none,2000,65,88,383439.1684605822,389559.4176093036,1.0159614605187381
max,max,2000,65,88,2315287.1149673564,1036972.5650175295,0.44788076533313664
max,none,2000,65,88,2315287.1149673564,1036972.5650175295,0.44788076533313664
medium,high,2000,65,88,1107725.150741559,746425.0700124071,0.673835986763249
medium,max,2000,65,88,1583689.0876386748,839784.7417485539,0.5302712181976935
medium,medium,2000,65,88,852091.060309993,642596.9184795782,0.7541411339837315
medium,none,2000,65,88,852091.060309993,642596.9184795782,0.7541411339837315
very_low,high,2000,65,88,788157.7231717461,635213.9729618997,0.8059477872089332
very_low,low,2000,65,88,298197.68681547476,343546.5072398699,1.1520763655435633
very_low,max,2000,65,88,1264121.660068862,773462.6740237479,0.6118577811423738
very_low,medium,2000,65,88,532523.6327401802,481469.995705488,0.9041288801175112
very_low,none,2000,65,88,212956.20517036738,297533.5968704362,1.397158615934229
very_low,very_low,2000,65,88,212956.20517036738,297533.5968704362,1.397158615934229
high,high,2005,65,88,1484191.0266667518,910274.8625403591,0.613313816203758
high,max,2005,65,88,2013667.3622933333,1010516.4816837149,0.5018289021344886
high,none,2005,65,88,1484191.0266667518,910274.8625403591,0.613313816203758
low,high,2005,65,88,950807.5330737366,681952.967499244,0.7172355537557121
low,low,2005,65,88,417424.03948072135,417082.66369884246,0.9991821846621398
low,max,2005,65,88,1480283.868700318,830390.3440032286,0.5609669615141502
low,medium,2005,65,88,672516.1589109722,552533.771445042,0.8215918147450588
low,none,2005,65,88,417424.03948072135,417082.66369884246,0.9991821846621398
max,max,2005,65,88,2543143.697919915,1110758.1008270707,0.4367657642529522
max,none,2005,65,88,2543143.697919915,1110758.1008270707,0.4367657642529522
medium,high,2005,65,88,1205899.6525039873,799129.8708658003,0.662683556800476
medium,max,2005,65,88,1735375.988130569,899371.490009156,0.51825742442017
medium,medium,2005,65,88,927608.278341223,687984.8791912415,0.74167608812366
medium,none,2005,65,88,927608.278341223,687984.8791912415,0.74167608812366
very_low,high,2005,65,88,858009.870897545,680060.2402851894,0.7926018841412552
very_low,low,2005,65,88,324626.3773045297,367830.2617093667,1.1330880280387927
very_low,max,2005,65,88,1387486.2065241265,828496.4694922634,0.5971205087276354
very_low,medium,2005,65,88,579718.4967347806,515482.06764374895,0.8891937561888428
very_low,none,2005,65,88,231828.7151283381,318577.859719891,1.374194993676816
very_low,very_low,2005,65,88,231828.7151283381,318577.859719891,1.374194993676816
high,high,2010,65,88,1605997.372157116,980826.7081398484,0.6107274676436354
high,max,2010,65,88,2186059.435606081,1088955.5241905013,0.4981362841530383
high,none,2010,65,88,1605997.372157116,980826.7081398484,0.6107274676436354
low,high,2010,65,88,1028839.9492106306,734815.650489579,0.7142176497455804
low,low,2010,65,88,451682.52626414533,449381.2781801501,0.9949051646893918
low,max,2010,65,88,1608902.012659596,894930.2998224148,0.5562366712084907
low,medium,2010,65,88,727708.3763825155,595344.3731545999,0.8181084517868196
low,none,2010,65,88,451682.52626414533,449381.2781801501,0.9949051646893918
max,max,2010,65,88,2766121.4990550466,1197084.3402411544,0.43276636281164743
max,none,2010,65,88,2766121.4990550466,1197084.3402411544,0.43276636281164743
medium,high,2010,65,88,1304865.7993290008,861067.0881344491,0.659889383703086
medium,max,2010,65,88,1884927.862777966,969195.9041851021,0.5141819606596095
medium,medium,2010,65,88,1003734.2265008857,741307.4681290498,0.738549556801823
medium,none,2010,65,88,1003734.2265008857,741307.4681290498,0.738549556801823
very_low,high,2010,65,88,928425.4848722508,732774.2236762254,0.7892655206217798
very_low,low,2010,65,88,351268.0619257655,396309.03052076907,1.1282239220613295
very_low,max,2010,65,88,1508487.5483212161,892887.3115448061,0.5919089703713454
very_low,medium,2010,65,88,627293.9120441356,555433.3034486446,0.8854434783826899
very_low,none,2010,65,88,250853.59758738562,343236.7828613881,1.3682753054471166
very_low,very_low,2010,65,88,250853.59758738562,343236.7828613881,1.3682753054471166
