worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t_sched,delta_pv_ben_sched,net_tax_sched,pv_ben_through_t_pb,delta_pv_ben_pb,net_tax_pb
high,high,1935,65,53,1988,33389.88708,4046.8543140960005,943332.2244363978,13250.001170699252,0.022571367454538353,943332.2244363978,13250.001170699252,0.022571367454538353
high,high,1935,65,54,1989,34450.6287,4175.416198440001,956052.2236871015,12719.999250703724,0.021448020390631404,956052.2236871015,12719.999250703724,0.021448020390631404
high,high,1935,65,55,1990,35663.454079999996,4422.268305919999,962140.7442839947,6088.520596893155,0.07391014312325453,962140.7442839947,6088.520596893155,0.07391014312325453
high,high,1935,65,56,1991,36294.5024,4500.518297599999,966519.2182952518,4378.474011257174,0.08577327437931127,966519.2182952518,4378.474011257174,0.08577327437931127
high,high,1935,65,57,1992,37292.99292,4624.331122079999,970426.7125628631,3907.4942676112987,0.08844131016016334,970426.7125628631,3907.4942676112987,0.08844131016016334
high,high,1935,65,58,1993,36665.28195,4546.494961799999,973508.1554129155,3081.442850052379,0.09373859319255531,973508.1554129155,3081.442850052379,0.09373859319255531
high,high,1935,65,59,1994,36556.682669999995,4533.028651079999,976089.5505825281,2581.3951696126023,0.09676877306932614,976089.5505825281,2581.3951696126023,0.09676877306932614
high,high,1935,65,60,1995,36514.96548,4527.855719519999,978003.4355526288,1913.884970100713,0.10239261855982511,978003.4355526288,1913.884970100713,0.10239261855982511
high,high,1935,65,61,1996,36201.7183,4489.013069199999,979612.8333616239,1609.3978089950979,0.1044634160932238,979612.8333616239,1609.3978089950979,0.1044634160932238
high,high,1935,65,62,1997,36997.674,4587.711576,981209.6084945666,1596.775132942712,0.10378187164015523,981209.6084945666,1596.775132942712,0.10378187164015523
high,high,1935,65,63,1998,37606.45632,4663.200583679999,982994.5138269973,1784.905332430615,0.10052052922295049,982994.5138269973,1784.905332430615,0.10052052922295049
high,high,1935,65,64,1999,38331.05872,4753.05128128,984611.8953866553,1617.381559658097,0.10189486552503327,984611.8953866553,1617.381559658097,0.10189486552503327
high,high,1940,65,21,1961,1810.43468,108.6260808,600810.7336184802,0,0.06,600810.7336184802,0,0.06
high,high,1940,65,22,1962,2343.1044,146.444025,600810.7336184802,0,0.0625,600810.7336184802,0,0.0625
high,high,1940,65,23,1963,3068.85472,222.49196719999998,600810.7336184802,0,0.0725,600810.7336184802,0,0.0725
high,high,1940,65,24,1964,3816.6508799999997,276.7071888,600810.7336184802,0,0.07250000000000001,600810.7336184802,0,0.07250000000000001
high,high,1940,65,25,1965,4379.1968,317.491768,600810.7336184802,0,0.0725,600810.7336184802,0,0.0725
high,high,1940,65,26,1966,5101.325879999999,392.80209275999994,600810.7336184802,0,0.077,600810.7336184802,0,0.077
